COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,BFICat,BFIWs
5422869,3.3606,3.3606,100.0,100.0,50.2855,50.2855
5424141,0.7668,38.1348,100.0,100.0,56.8099,56.899
5423991,2.2158,10.5579,100.0,100.0,53.9773,52.2759
5596026,3.0915,304.5132,100.0,100.0,40.0,46.2319
5598174,7.8453,30.1923,100.0,100.0,48.0,48.0
5597740,0.4959,288.0468,100.0,100.0,42.0,46.641
5596902,1.5066,8.1675,100.0,100.0,38.0,37.3734
5423517,1.2753,1.2753,100.0,100.0,58.4919,58.4919
5423553,2.1582,2.1582,100.0,100.0,48.5901,48.5901
5596242,5.076,5.076,100.0,100.0,41.7142,41.7142
5423675,2.2887,20.0817,100.0,100.0,56.4915,55.5183
5597022,0.1467,8.7678,100.0,100.0,38.0,38.6964
5423611,1.215,1.215,100.0,100.0,55.0,55.0
5424699,0.3231,6.3837,100.0,100.0,52.0,53.8576
5597002,1.0764,2553.4539,100.0,100.0,44.0,42.95
5423967,1.3932,26.3772,100.0,100.0,55.5368,52.2798
5424579,0.2097,111.8241,100.0,100.0,42.0,43.0097
5424777,1.1502,3.1077,100.0,100.0,53.3944,53.7454
5424741,2.8827,2.8827,100.0,100.0,42.0,42.0
5597178,0.5634,1889.2944,100.0,100.0,39.0,42.7702
5595686,2.3589,2.3589,100.0,100.0,38.0,38.0
5596210,0.1179,31.0563,100.0,100.0,49.0,49.0
5595958,5.7357,7.8948,100.0,100.0,44.0,44.0
5423081,0.8262,0.8262,100.0,100.0,57.8137,57.8137
5424919,2.2428,2.2428,100.0,100.0,54.3118,54.3118
5423035,1.8117,6.714,100.0,100.0,58.0,58.0
5596000,1.6434,338.5638,100.0,100.0,40.0,45.5714
5595744,0.5463,179.1279,100.0,100.0,39.0,40.138
5597540,0.9018,466.2711,100.0,100.0,40.0,45.2166
5596928,0.936,0.936,100.0,100.0,38.0,38.0
5424129,0.0432,2.8431,100.0,100.0,57.0,57.7407
5596190,0.3114,63.603,100.0,100.0,49.0,48.9934
5424755,1.6812,1.6812,100.0,100.0,54.9283,54.9283
5423561,0.9234,0.9234,100.0,100.0,58.7115,58.7115
5425233,0.9702,0.9702,100.0,100.0,58.0083,58.0083
5596936,2.0403,2.0403,100.0,100.0,37.9749,37.9749
5597286,0.4716,780.1173,100.0,100.0,39.0,44.393
5596886,0.6246,0.6246,100.0,100.0,38.0,38.0
5598202,6.9912,6.9912,100.0,100.0,48.0,48.0
5423251,2.394,2.394,100.0,100.0,55.6519,55.6519
5424181,0.3096,7.4448,100.0,100.0,59.0,59.1175
5423341,3.7494,3.7494,100.0,100.0,51.7748,51.7748
