"","x_HBI_RFadj_std","nt_habit_climbcling_RFadj_std","nt_volt_semi_RFadj_std","pt_BCG_att1i234b_RFadj_std","nt_EPT_RFadj_std","index"
"KS_Liz_3568_Rep1",68.2855050238022,70.4457069499623,60.5356234842937,58.6853689621986,53.1922140496124,62.2288836939739
"KS_Liz_3221_Rep1",86.5045107852386,21.6810690823312,62.9753072427121,9.90732438371635,36.36354260551,43.4863508199016
"KS_Clint_0369_Rep1",84.8792447933286,2.49843515000806,23.2814937285751,78.8467975396713,12.9988274611881,40.5009597345542
"KS_Clint_0373_Rep1",58.4879454570986,24.2324628130785,76.2030503103189,53.2506411239795,0,42.4348199408951
"KS_Clint_0375_Rep1",72.0834633625893,29.6659697288461,49.742272019447,81.8742999381426,12.9988274611881,49.2729665020426
"KS_Clint_0376_Rep1",29.8487384598029,51.3999973919166,23.2814937285751,57.6542809380777,12.9988274611881,35.0366675959121
"KS_Clint_0377_Rep1",28.8569374564353,24.2324628130785,36.5118828740111,100,20.3157623240047,41.9834090935059
"KS_Clint_0370_Rep1",70.0052751608096,24.2324628130785,89.4334394557549,81.2532737800955,27.6326971868213,58.511429679312
"KS_Clint_0379_Rep1",53.9387206168919,45.966490476149,100,100,12.9988274611881,62.5808077108458
"KS_Clint_0380_Rep1",47.735934548879,2.49843515000806,62.972661164883,9.21424299050542,0,24.4842547708551
"KS_Clint_0381_Rep1",61.941352365995,2.49843515000806,23.2814937285751,100,0,37.5442562489156
"KS_Clint_0382_Rep1",36.8990037388539,13.3654489815433,23.2814937285751,78.8467975396713,12.9988274611881,33.0783142899664
"KS_Clint_0383_Rep1",50.8846126460565,35.0994766446137,76.2030503103189,29.1601409653843,5.68189259837149,39.405834632949
"KS_Clint_0384_Rep1",23.3587325397582,29.6659697288461,36.5118828740111,45.8715690024494,5.68189259837149,28.2180093486873
"KS_Clint_0372_Rep1",70.1797430926304,7.93194206577567,36.5118828740111,65.4392870036781,0,36.0125710072191
"KS_Clint_0386_Rep1",24.5842291169162,56.8335043076842,76.2030503103189,76.557710371327,27.6326971868213,52.3622382586135
"KS_Clint_0374_Rep1",54.014420274406,13.3654489815433,62.972661164883,100,0,46.0705060841665
